composicion,mandato,genero,jurisdicción,bloque
2025-2027,2023-2029,masculino,buenos aires,union por la patria
2025-2027,2023-2029,femenino,buenos aires,union por la patria
2025-2027,2023-2029,masculino,buenos aires,union civica radical
2025-2027,2021-2027,masculino,catamarca,union por la patria
2025-2027,2021-2027,femenino,catamarca,union por la patria
2025-2027,2021-2027,masculino,catamarca,union civica radical
2025-2027,2025-2031,,chaco,
2025-2027,2025-2031,,chaco,
2025-2027,2025-2031,,chaco,
2025-2027,2021-2027,masculino,chubut,cambio federal
2025-2027,2021-2027,femenino,chubut,cambio federal
2025-2027,2021-2027,masculino,chubut,union por la patria
2025-2027,2025-2031,,ciudad de buenos aires,
2025-2027,2025-2031,,ciudad de buenos aires,
2025-2027,2025-2031,,ciudad de buenos aires,
2025-2027,2021-2027,femenino,cordoba,pro
2025-2027,2021-2027,masculino,cordoba,pro
2025-2027,2021-2027,femenino,cordoba,unidad federal
2025-2027,2021-2027,femenino,corrientes,union civica radical
2025-2027,2021-2027,masculino,corrientes,union civica radical
2025-2027,2021-2027,masculino,corrientes,unidad federal
2025-2027,2025-2031,,entre ríos,
2025-2027,2025-2031,,entre ríos,
2025-2027,2025-2031,,entre ríos,
2025-2027,2023-2029,femenino,formosa,union por la patria
2025-2027,2023-2029,masculino,formosa,union por la patria
2025-2027,2023-2029,masculino,formosa,la libertad avanza
2025-2027,2023-2029,masculino,jujuy,la libertad avanza
2025-2027,2023-2029,femenino,jujuy,la libertad avanza
2025-2027,2023-2029,femenino,jujuy,union por la patria
2025-2027,2021-2027,masculino,la pampa,union por la patria
2025-2027,2021-2027,femenino,la pampa,pro
2025-2027,2021-2027,masculino,la pampa,union civica radical
2025-2027,2023-2029,femenino,la rioja,union por la patria
2025-2027,2023-2029,masculino,la rioja,union por la patria
2025-2027,2023-2029,masculino,la rioja,la libertad avanza
2025-2027,2021-2027,femenino,mendoza,union civica radical
2025-2027,2021-2027,masculino,mendoza,union civica radical
2025-2027,2021-2027,femenino,mendoza,union por la patria
2025-2027,2023-2029,masculino,misiones,frente renovador de la concordia
2025-2027,2023-2029,femenino,misiones,frente renovador de la concordia
2025-2027,2023-2029,masculino,misiones,pro
2025-2027,2025-2031,,neuquén,
2025-2027,2025-2031,,neuquén,
2025-2027,2025-2031,,neuquén,
2025-2027,2025-2031,,río negro,
2025-2027,2025-2031,,río negro,
2025-2027,2025-2031,,río negro,
2025-2027,2025-2031,,salta,
2025-2027,2025-2031,,salta,
2025-2027,2025-2031,,salta,
2025-2027,2023-2029,femenino,san juan,union por la patria
2025-2027,2023-2029,masculino,san juan,union por la patria
2025-2027,2023-2029,masculino,san juan,la libertad avanza
2025-2027,2023-2029,masculino,san luis,la libertad avanza
2025-2027,2023-2029,femenino,san luis,la libertad avanza
2025-2027,2023-2029,masculino,san luis,union por la patria
2025-2027,2023-2029,masculino,santa cruz,por santa cruz
2025-2027,2023-2029,femenino,santa cruz,por santa cruz
2025-2027,2023-2029,femenino,santa cruz,union por la patria
2025-2027,2021-2027,femenino,santa fe,union civica radical
2025-2027,2021-2027,masculino,santa fe,union civica radical
2025-2027,2021-2027,masculino,santa fe,union por la patria
2025-2027,2025-2031,,santiago del estero,
2025-2027,2025-2031,,santiago del estero,
2025-2027,2025-2031,,santiago del estero,
2025-2027,2025-2031,,tierra del fuego,
2025-2027,2025-2031,,tierra del fuego,
2025-2027,2025-2031,,tierra del fuego,
2025-2027,2021-2027,masculino,tucuman,union por la patria
2025-2027,2021-2027,femenino,tucuman,union por la patria
2025-2027,2021-2027,femenino,tucuman,partido por la justicia social