jurisdiccion,diputadxs,cantidad diputadas,porcentaje diputadas,senadorxs,cantidad senadoras,porcentaje senadoras
buenos aires,70,33,47,3,1,33
catamarca,5,2,40,3,1,33
chaco,7,2,29,3,1,33
chubut,5,1,20,3,2,67
ciudad autonoma de buenos aires,25,12,48,3,1,33
cordoba,18,9,50,3,2,67
corrientes,7,2,29,3,1,33
entre rios,9,3,33,3,1,33
formosa,5,2,40,3,1,33
jujuy,6,2,33,3,2,67
la pampa,5,1,20,3,1,33
la rioja,5,2,40,3,1,33
mendoza,10,4,40,3,2,67
misiones,7,2,29,3,1,33
neuquen,5,3,60,3,2,67
rio negro,5,2,40,3,2,67
salta,7,3,43,3,2,67
san juan,6,1,17,3,1,33
san luis,5,1,20,3,1,33
santa cruz,5,2,40,3,2,67
santa fe,19,9,47,3,1,33
santiago del estero,7,4,57,3,1,33
tierra del fuego aias,5,1,20,3,2,67
tucuman,9,3,33,3,2,67